# TIME, TIK, DC, UA, U1, IL, Iset, ERROR
3.702520465850830078e+01,0.000000000000000000e+00,1.610000000000000000e+02,9.100000000000000311e-01,1.239999999999999991e+00,2.419000000000000128e+01,2.439999999999999858e+01,2.099999999999999922e-01
3.740262079238891602e+01,0.000000000000000000e+00,1.610000000000000000e+02,9.100000000000000311e-01,1.239999999999999991e+00,2.410000000000000142e+01,2.439999999999999858e+01,2.999999999999999889e-01
3.784915757179260254e+01,0.000000000000000000e+00,1.610000000000000000e+02,9.100000000000000311e-01,1.239999999999999991e+00,2.433999999999999986e+01,2.439999999999999858e+01,5.999999999999999778e-02
3.837447357177734375e+01,0.000000000000000000e+00,1.610000000000000000e+02,9.100000000000000311e-01,1.239999999999999991e+00,2.423999999999999844e+01,2.439999999999999858e+01,1.600000000000000033e-01
3.868019175529479980e+01,0.000000000000000000e+00,1.620000000000000000e+02,9.100000000000000311e-01,1.239999999999999991e+00,2.394999999999999929e+01,2.439999999999999858e+01,4.500000000000000111e-01
3.915745568275451660e+01,0.000000000000000000e+00,1.610000000000000000e+02,9.100000000000000311e-01,1.239999999999999991e+00,2.457999999999999829e+01,2.439999999999999858e+01,-1.799999999999999933e-01
3.959770202636718750e+01,0.000000000000000000e+00,1.610000000000000000e+02,9.100000000000000311e-01,1.239999999999999991e+00,2.448999999999999844e+01,2.439999999999999858e+01,-8.999999999999999667e-02
4.006344032287597656e+01,0.000000000000000000e+00,1.620000000000000000e+02,9.100000000000000311e-01,1.239999999999999991e+00,2.414000000000000057e+01,2.439999999999999858e+01,2.600000000000000089e-01
4.057563066482543945e+01,0.000000000000000000e+00,1.620000000000000000e+02,9.100000000000000311e-01,1.239999999999999991e+00,2.433999999999999986e+01,2.439999999999999858e+01,5.999999999999999778e-02
4.098152327537536621e+01,0.000000000000000000e+00,1.610000000000000000e+02,9.100000000000000311e-01,1.250000000000000000e+00,2.462999999999999901e+01,2.439999999999999858e+01,-2.300000000000000100e-01
4.141644763946533203e+01,0.000000000000000000e+00,1.610000000000000000e+02,9.100000000000000311e-01,1.250000000000000000e+00,2.467999999999999972e+01,2.439999999999999858e+01,-2.800000000000000266e-01
4.188709068298339844e+01,0.000000000000000000e+00,1.620000000000000000e+02,9.100000000000000311e-01,1.239999999999999991e+00,2.428999999999999915e+01,2.439999999999999858e+01,1.100000000000000006e-01
4.234414529800415039e+01,0.000000000000000000e+00,1.610000000000000000e+02,9.200000000000000400e-01,1.250000000000000000e+00,2.453999999999999915e+01,2.439999999999999858e+01,-1.400000000000000133e-01
4.278999519348144531e+01,0.000000000000000000e+00,1.620000000000000000e+02,9.100000000000000311e-01,1.239999999999999991e+00,2.423999999999999844e+01,2.439999999999999858e+01,1.600000000000000033e-01
4.326625466346740723e+01,0.000000000000000000e+00,1.620000000000000000e+02,9.100000000000000311e-01,1.250000000000000000e+00,2.444000000000000128e+01,2.439999999999999858e+01,-4.000000000000000083e-02
4.373217892646789551e+01,0.000000000000000000e+00,1.610000000000000000e+02,9.100000000000000311e-01,1.250000000000000000e+00,2.467999999999999972e+01,2.439999999999999858e+01,-2.800000000000000266e-01
4.424324393272399902e+01,0.000000000000000000e+00,1.620000000000000000e+02,9.100000000000000311e-01,1.239999999999999991e+00,2.410000000000000142e+01,2.439999999999999858e+01,2.999999999999999889e-01
4.465679049491882324e+01,0.000000000000000000e+00,1.620000000000000000e+02,9.200000000000000400e-01,1.250000000000000000e+00,2.423999999999999844e+01,2.439999999999999858e+01,1.600000000000000033e-01
4.513253760337829590e+01,0.000000000000000000e+00,1.620000000000000000e+02,9.200000000000000400e-01,1.250000000000000000e+00,2.444000000000000128e+01,2.439999999999999858e+01,-4.000000000000000083e-02
4.545042681694030762e+01,0.000000000000000000e+00,1.620000000000000000e+02,9.200000000000000400e-01,1.250000000000000000e+00,2.457999999999999829e+01,2.439999999999999858e+01,-1.799999999999999933e-01
4.587742114067077637e+01,0.000000000000000000e+00,1.620000000000000000e+02,9.200000000000000400e-01,1.250000000000000000e+00,2.433999999999999986e+01,2.439999999999999858e+01,5.999999999999999778e-02
4.637695550918579102e+01,0.000000000000000000e+00,1.620000000000000000e+02,9.200000000000000400e-01,1.250000000000000000e+00,2.439000000000000057e+01,2.439999999999999858e+01,1.000000000000000021e-02
4.683798336982727051e+01,0.000000000000000000e+00,1.620000000000000000e+02,9.200000000000000400e-01,1.250000000000000000e+00,2.462999999999999901e+01,2.439999999999999858e+01,-2.300000000000000100e-01
4.734698462486267090e+01,0.000000000000000000e+00,1.680000000000000000e+02,9.100000000000000311e-01,1.250000000000000000e+00,2.428999999999999915e+01,2.830000000000000071e+01,4.009999999999999787e+00
4.781113672256469727e+01,0.000000000000000000e+00,1.680000000000000000e+02,9.399999999999999467e-01,1.280000000000000027e+00,2.571000000000000085e+01,2.830000000000000071e+01,2.589999999999999858e+00
4.833850574493408203e+01,0.000000000000000000e+00,1.700000000000000000e+02,9.399999999999999467e-01,1.290000000000000036e+00,2.605000000000000071e+01,2.830000000000000071e+01,2.250000000000000000e+00
4.860256385803222656e+01,0.000000000000000000e+00,1.710000000000000000e+02,9.499999999999999556e-01,1.300000000000000044e+00,2.633999999999999986e+01,2.830000000000000071e+01,1.959999999999999964e+00
4.911939239501953125e+01,0.000000000000000000e+00,1.730000000000000000e+02,9.499999999999999556e-01,1.300000000000000044e+00,2.644000000000000128e+01,2.830000000000000071e+01,1.860000000000000098e+00
4.960603713989257812e+01,0.000000000000000000e+00,1.740000000000000000e+02,9.599999999999999645e-01,1.310000000000000053e+00,2.678000000000000114e+01,2.830000000000000071e+01,1.520000000000000018e+00
5.009737420082092285e+01,0.000000000000000000e+00,1.750000000000000000e+02,9.599999999999999645e-01,1.320000000000000062e+00,2.682999999999999829e+01,2.830000000000000071e+01,1.469999999999999973e+00
5.046711564064025879e+01,0.000000000000000000e+00,1.760000000000000000e+02,9.699999999999999734e-01,1.320000000000000062e+00,2.717000000000000171e+01,2.830000000000000071e+01,1.129999999999999893e+00
5.097260093688964844e+01,0.000000000000000000e+00,1.770000000000000000e+02,9.699999999999999734e-01,1.330000000000000071e+00,2.732000000000000028e+01,2.830000000000000071e+01,9.799999999999999822e-01
5.141868066787719727e+01,0.000000000000000000e+00,1.770000000000000000e+02,9.699999999999999734e-01,1.330000000000000071e+00,2.742000000000000171e+01,2.830000000000000071e+01,8.800000000000000044e-01
5.185663008689880371e+01,0.000000000000000000e+00,1.780000000000000000e+02,9.799999999999999822e-01,1.340000000000000080e+00,2.751999999999999957e+01,2.830000000000000071e+01,7.800000000000000266e-01
5.242703080177307129e+01,0.000000000000000000e+00,1.790000000000000000e+02,9.799999999999999822e-01,1.340000000000000080e+00,2.726999999999999957e+01,2.830000000000000071e+01,1.030000000000000027e+00
5.269589495658874512e+01,0.000000000000000000e+00,1.790000000000000000e+02,9.799999999999999822e-01,1.340000000000000080e+00,2.751999999999999957e+01,2.830000000000000071e+01,7.800000000000000266e-01
5.318193459510803223e+01,0.000000000000000000e+00,1.800000000000000000e+02,9.799999999999999822e-01,1.350000000000000089e+00,2.776000000000000156e+01,2.830000000000000071e+01,5.400000000000000355e-01
5.369334220886230469e+01,0.000000000000000000e+00,1.810000000000000000e+02,9.899999999999999911e-01,1.350000000000000089e+00,2.737000000000000099e+01,2.830000000000000071e+01,9.300000000000000488e-01
5.406241583824157715e+01,0.000000000000000000e+00,1.810000000000000000e+02,9.899999999999999911e-01,1.350000000000000089e+00,2.766000000000000014e+01,2.830000000000000071e+01,6.400000000000000133e-01
5.452279853820800781e+01,0.000000000000000000e+00,1.810000000000000000e+02,9.899999999999999911e-01,1.350000000000000089e+00,2.780999999999999872e+01,2.830000000000000071e+01,4.899999999999999911e-01
5.496185064315795898e+01,0.000000000000000000e+00,1.820000000000000000e+02,9.899999999999999911e-01,1.350000000000000089e+00,2.776000000000000156e+01,2.830000000000000071e+01,5.400000000000000355e-01
5.543305683135986328e+01,0.000000000000000000e+00,1.820000000000000000e+02,9.899999999999999911e-01,1.360000000000000098e+00,2.776000000000000156e+01,2.830000000000000071e+01,5.400000000000000355e-01
5.592817091941833496e+01,0.000000000000000000e+00,1.820000000000000000e+02,9.899999999999999911e-01,1.360000000000000098e+00,2.791000000000000014e+01,2.830000000000000071e+01,3.900000000000000133e-01
5.635257697105407715e+01,0.000000000000000000e+00,1.830000000000000000e+02,1.000000000000000000e+00,1.360000000000000098e+00,2.801000000000000156e+01,2.830000000000000071e+01,2.899999999999999800e-01
5.679474377632141113e+01,0.000000000000000000e+00,1.830000000000000000e+02,1.000000000000000000e+00,1.360000000000000098e+00,2.785999999999999943e+01,2.830000000000000071e+01,4.400000000000000022e-01
5.730305290222167969e+01,0.000000000000000000e+00,1.830000000000000000e+02,1.000000000000000000e+00,1.360000000000000098e+00,2.801000000000000156e+01,2.830000000000000071e+01,2.899999999999999800e-01
5.767680048942565918e+01,0.000000000000000000e+00,1.830000000000000000e+02,1.000000000000000000e+00,1.370000000000000107e+00,2.819999999999999929e+01,2.830000000000000071e+01,1.000000000000000056e-01
5.811620330810546875e+01,0.000000000000000000e+00,1.840000000000000000e+02,1.000000000000000000e+00,1.370000000000000107e+00,2.810000000000000142e+01,2.830000000000000071e+01,2.000000000000000111e-01
5.855763840675354004e+01,0.000000000000000000e+00,1.840000000000000000e+02,1.000000000000000000e+00,1.370000000000000107e+00,2.796000000000000085e+01,2.830000000000000071e+01,3.400000000000000244e-01
5.905493950843811035e+01,0.000000000000000000e+00,1.840000000000000000e+02,1.000000000000000000e+00,1.370000000000000107e+00,2.791000000000000014e+01,2.830000000000000071e+01,3.900000000000000133e-01
5.953210425376892090e+01,0.000000000000000000e+00,1.850000000000000000e+02,1.000000000000000000e+00,1.370000000000000107e+00,2.785999999999999943e+01,2.830000000000000071e+01,4.400000000000000022e-01
6.004746460914611816e+01,0.000000000000000000e+00,1.850000000000000000e+02,1.000000000000000000e+00,1.370000000000000107e+00,2.819999999999999929e+01,2.830000000000000071e+01,1.000000000000000056e-01
6.036982297897338867e+01,0.000000000000000000e+00,1.850000000000000000e+02,1.000000000000000000e+00,1.370000000000000107e+00,2.814999999999999858e+01,2.830000000000000071e+01,1.499999999999999944e-01
6.084656333923339844e+01,0.000000000000000000e+00,1.850000000000000000e+02,1.000000000000000000e+00,1.379999999999999893e+00,2.805000000000000071e+01,2.830000000000000071e+01,2.500000000000000000e-01
6.129269099235534668e+01,0.000000000000000000e+00,1.850000000000000000e+02,1.010000000000000009e+00,1.379999999999999893e+00,2.819999999999999929e+01,2.830000000000000071e+01,1.000000000000000056e-01
6.176000022888183594e+01,0.000000000000000000e+00,1.850000000000000000e+02,1.010000000000000009e+00,1.379999999999999893e+00,2.819999999999999929e+01,2.830000000000000071e+01,1.000000000000000056e-01
6.225869631767272949e+01,0.000000000000000000e+00,1.860000000000000000e+02,1.010000000000000009e+00,1.379999999999999893e+00,2.791000000000000014e+01,2.830000000000000071e+01,3.900000000000000133e-01
6.276139545440673828e+01,0.000000000000000000e+00,1.860000000000000000e+02,1.010000000000000009e+00,1.379999999999999893e+00,2.810000000000000142e+01,2.830000000000000071e+01,2.000000000000000111e-01
6.309986329078674316e+01,0.000000000000000000e+00,1.860000000000000000e+02,1.010000000000000009e+00,1.379999999999999893e+00,2.810000000000000142e+01,2.830000000000000071e+01,2.000000000000000111e-01
6.358794188499450684e+01,0.000000000000000000e+00,1.860000000000000000e+02,1.010000000000000009e+00,1.379999999999999893e+00,2.814999999999999858e+01,2.830000000000000071e+01,1.499999999999999944e-01
6.406126689910888672e+01,0.000000000000000000e+00,1.870000000000000000e+02,1.010000000000000009e+00,1.379999999999999893e+00,2.791000000000000014e+01,2.830000000000000071e+01,3.900000000000000133e-01
6.444231128692626953e+01,0.000000000000000000e+00,1.860000000000000000e+02,1.010000000000000009e+00,1.379999999999999893e+00,2.819999999999999929e+01,2.830000000000000071e+01,1.000000000000000056e-01
6.495770764350891113e+01,0.000000000000000000e+00,1.860000000000000000e+02,1.010000000000000009e+00,1.379999999999999893e+00,2.810000000000000142e+01,2.830000000000000071e+01,2.000000000000000111e-01
6.536542320251464844e+01,0.000000000000000000e+00,1.860000000000000000e+02,1.010000000000000009e+00,1.379999999999999893e+00,2.825000000000000000e+01,2.830000000000000071e+01,5.000000000000000278e-02
6.586225199699401855e+01,0.000000000000000000e+00,1.870000000000000000e+02,1.010000000000000009e+00,1.379999999999999893e+00,2.805000000000000071e+01,2.830000000000000071e+01,2.500000000000000000e-01
6.642922854423522949e+01,0.000000000000000000e+00,1.870000000000000000e+02,1.010000000000000009e+00,1.379999999999999893e+00,2.810000000000000142e+01,2.830000000000000071e+01,2.000000000000000111e-01
6.671055674552917480e+01,0.000000000000000000e+00,1.870000000000000000e+02,1.010000000000000009e+00,1.379999999999999893e+00,2.801000000000000156e+01,2.830000000000000071e+01,2.899999999999999800e-01
